Topic_Num,Keywords,Num_Documents,Perc_Documents
1,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",308,0.1483
2,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",149,0.0717
3,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",94,0.0453
4,"거, 소득, 출산율, 지급, 이, 누구, 게, 임, 건가, 부부",123,0.0592
5,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",163,0.0785
6,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",117,0.0563
7,"아이, 것, 수, 맞벌이, 생각, 조부모, 사회, 시간, 교육, 요즘",101,0.0486
8,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",99,0.0477
9,"돈, 생각, 차라리, 막, 퍼주, 수급, 세상, 그냥, 퍼, 처",99,0.0477
10,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",124,0.0597
11,"정책, 더, 인구, 자녀, 이상, 하나, 오세훈, 걸, 유치원, 엄마",95,0.0457
12,"애, 그냥, 원금, 부모님, 요, 난, 교육비, 생각, 출산율, 그",102,0.0491
13,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",76,0.0366
14,"지원, 청년, 일자리, 이건, 취업, 노, 더, 정치, 도움, 건가",84,0.0404
15,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",87,0.0419
16,"출산, 세, 해결, 문제, 가정, 집값, 저출산, 이, 명, 국가",79,0.038
17,"수당, 복지, 뭐, 지금, 노인, 자립, 알, 아주, 아동, 도",84,0.0404
18,"왜, 말, 못, 우리, 초, 자꾸, 난리, 이해, 세대, 중고",93,0.0448
